Month,Quarter,Year,Address,PostalCode,County,Price,DescriptionofProperty,PropertySizeDescription,Latitude,Longitude
Jan,1,2010,"Apartment 93, 20 Christchurch Place, Dubin 8",Dublin 8,Dublin,277500.0,Second-Hand Dwelling house /Apartment,,,
Jan,1,2010,"Toughbaun, Drinagh",,Cork,325000.0,Second-Hand Dwelling house /Apartment,,51.64991255,-9.158463088488002
Jan,1,2010,"12 The Crescent, Highfield Park, Carrigrohane",,Cork,263436.12,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,
Jan,1,2010,"84 ardcollum avenue, artane, dublin 5",,Dublin,252000.0,Second-Hand Dwelling house /Apartment,,53.3834954,-6.2088884
Jan,1,2010,"150 Branswood, Kilkenny Road, Athy",,Kildare,104844.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,
Jan,1,2010,"No. 3 Brookgrove, Farmhill, off Strandhill Road",,Sligo,229074.88,New Dwelling house /Apartment,greater than or equal to 125 sq metres,,
Jan,1,2010,"66 Oliver Plunkett Street, St. Mary's Park, Limerick",,Limerick,13000.0,Second-Hand Dwelling house /Apartment,,52.6746561,-8.6277676
Jan,1,2010,"Chapel Hill, Baltinglass",,Wicklow,90000.0,Second-Hand Dwelling house /Apartment,,,
Jan,1,2010,"Apartment 46, Marfield Terrace, Tallaght",,Dublin,190000.0,Second-Hand Dwelling house /Apartment,,,
Jan,1,2010,"8 Castle Falls, Ross Road, Killarney",,Kerry,261250.0,Second-Hand Dwelling house /Apartment,,,
Jan,1,2010,"3 Priory Hall, Manor Grove, Terenure",,Dublin,241000.0,Second-Hand Dwelling house /Apartment,,,
Jan,1,2010,"2 Peyton Court, Rathcoole",,Dublin,290000.0,New Dwelling house /Apartment,less than 38 sq metres,53.2775804,-6.4719163
Jan,1,2010,"156 The Faythe, Wexford",,Wexford,70000.0,Second-Hand Dwelling house /Apartment,,52.3294165,-6.4522929
Jan,1,2010,"97 AN DUICE, SCALLAGHEEN",,Tipperary,190000.0,Second-Hand Dwelling house /Apartment,,,
Jan,1,2010,"6 Hazel Grove, Ardfert",,Kerry,163000.0,Second-Hand Dwelling house /Apartment,,,
Jan,1,2010,"8 Bissets Strand, Malahide",,Dublin,350000.0,Second-Hand Dwelling house /Apartment,,53.4522216,-6.1565291
Jan,1,2010,"1  Estuary Court, Rochestown",,Cork,240000.0,Second-Hand Dwelling house /Apartment,,,
Jan,1,2010,"78 Skelligs Court, Waterville, Dublin 15",Dublin 15,Dublin,255000.0,Second-Hand Dwelling house /Apartment,,53.3956261,-6.3734021
Jan,1,2010,"16 Beechcroft, Summerhill",,Meath,195000.0,Second-Hand Dwelling house /Apartment,,,
Jan,1,2010,"Main Street, Abbeyleix",,Laois,115000.0,Second-Hand Dwelling house /Apartment,,52.913811,-7.3488211
Jan,1,2010,"23 East Courtyard, Tullyvale, Cabinteely",Dublin 18,Dublin,310000.0,Second-Hand Dwelling house /Apartment,,,
Jan,1,2010,"Meenagoland, Cloghan",,Donegal,50000.0,Second-Hand Dwelling house /Apartment,,,
Jan,1,2010,"22 Elvana, Stamullen, Co Meath",,Meath,255000.0,Second-Hand Dwelling house /Apartment,,,
Jan,1,2010,"Glen Erin, Shanaghy, Ballina",,Mayo,150000.0,Second-Hand Dwelling house /Apartment,,,
Jan,1,2010,"29 sruth mhuilleann, durrus, bantry",,Cork,210000.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,
Jan,1,2010,"10 killians court, mullagh",,Cavan,95154.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,
Jan,1,2010,"68 Churchwell Road, Belmayne, Balgriffin",,Dublin,235000.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,
Jan,1,2010,"13 PARKLANDS CLOSE, MAYNOOTH",,Kildare,325000.0,Second-Hand Dwelling house /Apartment,,53.3788979,-6.5833767
Jan,1,2010,"9 valley park drive, finglas, dublin 11",,Dublin,76666.66,Second-Hand Dwelling house /Apartment,,,
Jan,1,2010,"Mountblakeney, Kilmallock",,Limerick,125000.0,Second-Hand Dwelling house /Apartment,,52.38502715,-8.640572078614387
Jan,1,2010,"6 Riverchapel Way, Riverchapel Wood, Courtown",,Wexford,129955.94,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,
Feb,1,2010,"4 Carlton Park, Redcastle",,Donegal,147158.59,New Dwelling house /Apartment,greater than or equal to 125 sq metres,,
Feb,1,2010,"29 Castleview Avenue, Swords",,Dublin,215000.0,Second-Hand Dwelling house /Apartment,,53.472462,-6.2375642
Feb,1,2010,"38 Thorndale Close, Kingscourt",,Cavan,120000.0,Second-Hand Dwelling house /Apartment,,53.9071919,-6.8150183
Feb,1,2010,"17 IONA DRIVE, N.C.Rd",,Limerick,224000.0,Second-Hand Dwelling house /Apartment,,,
Feb,1,2010,"14 Williamsons Place, Dundalk",,Louth,75000.0,Second-Hand Dwelling house /Apartment,,54.0018203,-6.4024337
Feb,1,2010,"No. 1 The Mews, ' Ayrefield', Granges Road",,Kilkenny,308500.0,Second-Hand Dwelling house /Apartment,,,
Feb,1,2010,"Apt 34 Block Q An Clarin, Athenry",,Galway,145000.0,New Dwelling house /Apartment,less than 38 sq metres,,
Feb,1,2010,"The Forge, Burtown Cross, Athy",,Kildare,100000.0,Second-Hand Dwelling house /Apartment,,,
