Month,Quarter,Year,Address,PostalCode,County,Price,DescriptionofProperty,PropertySizeDescription
Jan,1,2010,"Apartment 93, 20 Christchurch Place, Dubin 8",Dublin 8,Dublin,277500.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"Toughbaun, Drinagh",,Cork,325000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"12 The Crescent, Highfield Park, Carrigrohane",,Cork,263436.12,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Jan,1,2010,"84 ardcollum avenue, artane, dublin 5",,Dublin,252000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"150 Branswood, Kilkenny Road, Athy",,Kildare,104844.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Jan,1,2010,"No. 3 Brookgrove, Farmhill, off Strandhill Road",,Sligo,229074.88,New Dwelling house /Apartment,greater than or equal to 125 sq metres
Jan,1,2010,"66 Oliver Plunkett Street, St. Mary's Park, Limerick",,Limerick,13000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"Chapel Hill, Baltinglass",,Wicklow,90000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"Apartment 46, Marfield Terrace, Tallaght",,Dublin,190000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"8 Castle Falls, Ross Road, Killarney",,Kerry,261250.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"3 Priory Hall, Manor Grove, Terenure",,Dublin,241000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"2 Peyton Court, Rathcoole",,Dublin,290000.0,New Dwelling house /Apartment,less than 38 sq metres
Jan,1,2010,"156 The Faythe, Wexford",,Wexford,70000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"97 AN DUICE, SCALLAGHEEN",,Tipperary,190000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"6 Hazel Grove, Ardfert",,Kerry,163000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"8 Bissets Strand, Malahide",,Dublin,350000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"1  Estuary Court, Rochestown",,Cork,240000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"78 Skelligs Court, Waterville, Dublin 15",Dublin 15,Dublin,255000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"16 Beechcroft, Summerhill",,Meath,195000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"Main Street, Abbeyleix",,Laois,115000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"23 East Courtyard, Tullyvale, Cabinteely",Dublin 18,Dublin,310000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"Meenagoland, Cloghan",,Donegal,50000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"22 Elvana, Stamullen, Co Meath",,Meath,255000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"Glen Erin, Shanaghy, Ballina",,Mayo,150000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"29 sruth mhuilleann, durrus, bantry",,Cork,210000.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Jan,1,2010,"10 killians court, mullagh",,Cavan,95154.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
