Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
24/11/2017,"17 ST JOSEPHS PARK, MAYFIELD, CORK",,Cork,"€188,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/11/2010,"Rose Cottage, Ardtarmon, Ballinfull",,Sligo,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/10/2021,"7 BREFFNI ROAD, MULLAGHMORE, CLIFFONEY",,Sligo,"€342,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/03/2013,"15 Onward Close, Portmarnock",,Dublin,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/04/2017,"GORTNACOR, PORTSALON, LETTERKENNY",,Donegal,"€42,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2017,"SLIEVENAMON RD, THURLES, TIPPERARY",,Tipperary,"€171,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/11/2014,"90 Ard na Greine, Cloneml",,Tipperary,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2021,"APT 3, DUN AN OIR, BALLYFERRITER",,Kerry,"€218,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/04/2014,"3 CHAPEL STREET, BANDON, CO. CORK",,Cork,"€76,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2011,"Parkbaun, Glenamaddy",,Galway,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/11/2019,"ENDAS TAKEAWAY APT, HIGH ST, DRUMSHANBO",,Leitrim,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/02/2020,"DERRYCLONEY, MOUNTMELLICK, LAOIS",,Laois,"€253,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/05/2013,"filane, castletowmbere",,Cork,"€177,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/05/2018,"GLASGANNY, CASTLEBRIDGE, WEXFORD",,Wexford,"€440,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/01/2013,"97 Cruise Park Drive, Cruise Park",,Dublin,"€49,824.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/09/2012,"337 SUNDAYS WELL, NAAS",,Kildare,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/08/2019,"3 THE CRESCENT, SPY HILL, COBH",,Cork,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2018,"16 HANNAVILLE PARK, TERENURE, DUBLIN 6W",,Dublin,"€900,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/02/2021,"89 DOORADOYLE PARK, DOORADOYLE RD, LIMERICK",,Limerick,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2020,"BALLYGOONAN, KILFENORA, CO CLARE",,Clare,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2018,"25 WOODLEY PARK, KILMACUD, DUBLIN 14",Dublin 14,Dublin,"€660,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/05/2016,"22 Leas na Mara, Ballymoneen Road",,Galway,"€160,139.22",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/12/2019,"19 the gearagh, meadowlands, macroom",,Cork,"€216,634.00",No,Yes,New Dwelling house /Apartment,
21/05/2010,"Coldwood, Craughwell",,Galway,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/12/2015,"228 BLARNEY ROAD, SHANAKIEL, CORK",,Cork,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/02/2018,"7 STILLORGAN GROVE, BLACKROCK, DUBLIN",,Dublin,"€965,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/11/2015,"60 ROCKFIELD LODGE, MAYNOOTH, KILDARE",,Kildare,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/02/2020,"33 The Crescent, Dun Si, St Marncks Bay",,Dublin,"€440,450.00",No,Yes,New Dwelling house /Apartment,
21/12/2016,"1 BARRACK STREET, CARLOW, CO CARLOW",,Carlow,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/02/2021,"50 KINCORA PARK, ENNIS, CO CLARE",,Clare,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2016,"THE PIGEONS POST OFFICE, LISSOY, GLASSON",,Westmeath,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2015,"593 CARNLOUGH ROAD, CABRA WEST, DUBLIN 7",Dublin 7,Dublin,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/02/2020,"126 THE COMMONS, DULEEK, MEATH",,Meath,"€97,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/01/2012,"24 Huntsgrove, Ashbourne, County Meath",,Meath,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2017,"OLD VILLAGE ROAD, DERRYCOOSH, CASTLEBAR",,Mayo,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2010,"40 Petitswood Manor, Mullingar",,Westmeath,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"83 DUNMANUS RD, CABRA WEST, DUBLIN 7",Dublin 7,Dublin,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/02/2020,"WOODPOLE LODGE, CARNAROSS, KELLS",,Meath,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2017,"28 ARD ALAINN, CASTLEBRIDGE, WEXFORD",,Wexford,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/05/2021,"8 TRIOGUE MANOR, GREENMILL LANE, PORTLAOISE",,Laois,"€150,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
23/02/2015,"NO. 7 CAISLIN, COOLOUGH, CO. GALWAY",,Galway,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/08/2021,"29C, Cnoc an Cairn, Dingle",,Kerry,"€176,212.00",No,Yes,New Dwelling house /Apartment,
02/07/2021,"BUNADERREEN, MASTERGEEHY, KERRY",,Kerry,"€106,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2015,"ST AIDANS, CLEARIESTOWN, CO WEXFORD",,Wexford,"€52,500.00",No,No,Second-Hand Dwelling house /Apartment,
